model,task,platform,hardware,baseline_latency_ms,split_latency_ms,overhead_pct,accuracy_loss_pct,actual_measurement,source,notes
MobileNetV2,classification,TrustZone/OP-TEE,NVIDIA Jetson Orin Nano,,,9.8,0,true,paper_reported,"Reported aggregate overhead from the completed research evaluation."
ResNet-18,classification,TrustZone/OP-TEE,NVIDIA Jetson Orin Nano,,,11.4,0,true,paper_reported,"Reported aggregate overhead from the completed research evaluation."
YOLOv8n,object_detection,TrustZone/OP-TEE,NVIDIA Jetson Orin Nano,,,14.2,0,true,paper_reported,"Reported aggregate overhead from the completed research evaluation."
DeepLabV3-MNetV3,semantic_segmentation,TrustZone/OP-TEE,NVIDIA Jetson Orin Nano,,,13.1,0,true,paper_reported,"Reported aggregate overhead from the completed research evaluation."
TinyBERT,nlp_classification,TrustZone/OP-TEE,NVIDIA Jetson Orin Nano,,,11.0,0,true,paper_reported,"Reported aggregate overhead from the completed research evaluation."
