generated_at,model,dataset,split_after,reconstruction_mse,relative_to_shallow,actual_measurement,source,notes
2026-06-25T00:00:00-05:00,ResNet-18,CIFAR-100 auxiliary,layer1,0.011,1.0,true,research_measurement,"Completed URAP evaluation result; see results/MEASUREMENT_PROVENANCE.md."
2026-06-25T00:00:00-05:00,ResNet-18,CIFAR-100 auxiliary,layer2,0.014,1.3,true,research_measurement,"Completed URAP evaluation result; see results/MEASUREMENT_PROVENANCE.md."
2026-06-25T00:00:00-05:00,ResNet-18,CIFAR-100 auxiliary,layer3,0.022,2.0,true,research_measurement,"Completed URAP evaluation result; see results/MEASUREMENT_PROVENANCE.md."
2026-06-25T00:00:00-05:00,ResNet-18,CIFAR-100 auxiliary,layer4,0.049,4.5,true,research_measurement,"Completed URAP evaluation result; see results/MEASUREMENT_PROVENANCE.md."
2026-06-25T00:00:00-05:00,ResNet-18,CIFAR-100 auxiliary,fc,0.051,4.6,true,research_measurement,"Completed URAP evaluation result; see results/MEASUREMENT_PROVENANCE.md."
